,Users,Comments,labels
42,@btanirose581,"As someone with PTSD, I find it difficult at times to be around anything or anyone that stresses me out.  Work, big crowds, I kind of live inside my mind sometimes.  Finding things I love to do, collecting rocks, biking, going to the ocean.  It puts my mind on what Im doing that I enjoy.  Let her rest a lot, take naps when she wants to.  The ordeal is very mentally tiring.",0
43,@pglavalle,"I have been following his story from the start, and each time I walk away teary eyed ... I have an extremely hard time telling this story to my wife.",0
44,@isaac8751,"So much pain reflected in this Man’s face,I hope they can heal.",0
45,@Muhdah1972,"Good to hear Emily's dad is proactive and talking to a mental health professional. She will need lots of time to decompress but I hope that she gets one on one therapy, and family therapy tondeal with the loss of her ex-step mother. May all the hostages return soon ",0
46,@jaminhosack9376,We are so sorry that this happened to Emily. Our prayers are with you.,1
47,@janegallagher6162,"God bless this beautiful father. What a agonising journey he has has to endure, and endure he has. May he get all the support he needs.",1
48,@yenxion6516,"Omg, they were gone 50 days and to her it felt like a year. Poor girl I hope she can get all the help she can and recover.",0
49,@rissykup,I always thought about this man. I’m so happy he and his daughter reunited. God bless them,1
50,@maryoleary2037,"What a loving man.  It will take a long time to bring Emily back, but I'm sure this father will help her to do it.",1
51,@sheliapierre3722,"SO HAPPY to see the young girl back with her father!! I remember his interview when he thought she was no longer alive. Comparing her time in captivity to a year and whispering She is traumatized and will need lots of therapy. I pray she heals and will be able to enjoy life, feel, show love and not live in fear for the rest of her life. I hope all those still held hostage, will be reunited with their families.",1
52,@breechristie9486,My prayers are with this man his daughter and his family,0
53,@joanneG75,Prayers for healing and comfort for Emily and her family.,0
54,@paulrollings9606,"Many turned against Liz Cheney when she spoke-up against Donald Trump and his conduct, actions and behaviour. Rather than listening to the criticism which she could validate they turned against her and shunned her from the Republican Party. Makes you question whether politicians are acting in the best interests of the country or who are in power to retain their political gain and all the benefits which come with it. Liz Cheney can at least say that she's acted in the interest and good for her country. She even sacrificed her career for this. How many other Republicans can say they'll do the same?",0
55,@brendalewis266,"I backed her 100%. I trust Her words over any other Republican in Congress. Thank you, Liz Chaney.
For speaking the truth",0
56,@wolfdreams2000,"As a non republican, i plan to buy her book. I gained a LOT of respect for her during the J6 hearings and everything she gave up to ensure Americans know what the Defeated Defendant really is.",0
57,@stephanegosselin2861,"Well said Liz Cheney! 
Nobody can be a true Republican and support Trump, it s one or the other.",0
58,@jlvandat69,"Excellent, important work by Ms. Cheney. This book is what the country needs.....clarity, courage and purpose from all of us. Let's get DJT and his co-conspirators behind us.",0
59,@rorydobbs6700,I couldn’t hold Liz Cheney in higher regard. She is a quality and qualified leader who deserves the highest respect. She is the mongoose in the pit of cobras. I tell you she will rise above the snakes of the GOP. She is not done.,1
60,@thebigstink9268,“We’re electing idiots” Liz Cheney,-1
61,@CB-hn6ei,"I never thought I would say this, but I'm with Liz Cheney. Everyone must vote against trump and anyone that has enabled him. They are all too weak and dangerous to be in a position if power.",-1
62,@liberty_and_justice67,Cheney is one of a embarrassingly few members of Republican Party with any courage.  Respect!,1
63,@JakeLeidahl,Amen. I can't vote GOP if Trump is on the ticket.   Cheney is right when she calls the rebuplicans cowards as its hard to respect them with how they catered to him.  Sad days for America,-1
64,@warrinbang1191,"Trump has given us his forecast of the devastation to come if he's elected President. Our decision is, simply, to vote together and prevent this devastation or sit back and watch it unfold.",0
65,@craigstevens8098,Lynn Cheney and Adam Kissenger true heroes of our time thank you both God bless you both ,1
66,@larryhuston8433,"The GOP pandering to a depressed narcissus, how pathetic.",-1
67,@BoomerAnn,Dear Liz. Thank you for telling the world what some of us already know because we have eyes and ears. Thank you for writing to educate those who are virtually blind and deaf.,-1
68,@robreuler144,"Congratulation Ms. Cheney for having to courage and wisdom to stand up to the Orange Jesus.Should you ever run for President, as a Democrat It would be hard to not vote for you. You have my utmost respect. You have done what the rest of the GOP can't and won't do stand up to Trump.",1
69,@ronaldr.236,“Cowardice!”  No truer words have ever been more on point.,-1
70,@chilibeans7772,"Everyone one of us Independent, Republican and Democrat will need to vote together to keep a second trump term from ruining American democracy 🇺🇲",-1
71,@carolesmith9235,We must not forget that when Trump gets rid of the U.S. Constitution WE will have NO more constitutional rights. Thats something to consider prior to  voting .,0
72,@cathyanderson785,I hope Liz Cheny never shuts up.  This country needs her and people like her.,1
73,@itcoming9758,What a brave lady. Please stay safe Cheney.  Thank you for standing up .,1
74,@DrDuze-se5cx,What makes one think he would stop with immigrants who are here without papers? He would try to round up any immigrant in a group that votes against him.,0
75,@stevebeegreat,"I'm glad to see that CNN had come to the realization, President Trump will have a second term. We need to get some productive work done, it's been way too long.",0
76,@toddburns1687,How can an accused criminal run for president,-1
77,@cecilianduguta8241,And he will be president Again,0
78,@derekgood7769,How is asking how someone is doing mean Attacking lol this stuff is too crazy for me. These are the people that say you should have took what he said to mean this! It doesn’t matter what really was said,0
79,@Soylentgreen1966,"No matter what CNN’s propaganda says; i think we can all agree (even if you cant admit it) no matter what Trump does, it will 1000x more beneficial to the CITIZENS OF AMERICA. CITIZENS !!!!!!",1
80,@MohammedAnderson-dt3ri,"What does the 14th amendment Section 3 mean?

Ratified in the aftermath of the Civil War, Section 3 of the Fourteenth Amendment explicitly disqualifies any person from public office who, having previously taken an oath as a federal or state office holder, engaged in insurrection or rebellion.",0
81,@mzliz1249,People got the nerve to blame George Soros for everything but are silent when it comes to the Kochs.,0
82,@BV-co7hy,"As a Briton , I’d love to know who exactly gets polled to decide Trump is 50% ahead??",0
83,@jopipes9963,What doesn't KOCH do that isn't horrible? Greed and power have made them dangerous players.,-1
84,@williams8953,Trump's tan must be running down his shirt.,0
85,@t.a.k.palfrey3882,"Am I alone in considering it utterly grotesque the amount of money allowed to be spent on election campaigns in the US? For example, candidates for the 2020 presidential election raised and spent more than the latest general elections in all 45 European countries, Canada, Australia, New Zealand, Japan, and S Korea COMBINED.",0
86,@jamesg8286,I never understand the importance of endorsement and money on changing voters decision.  I made my mind long time ago and nothing will change that. I guess money influence the ignorant,-1
87,@SidewalkCitizenLA,The remaining Koch brother endorsing Haley COULD be massive but we'll have to wait and see because it depends on the GOP voters actually having some sense.,0
88,@Bonjour-World,The thing I really like about this is: It is really going to piss off Donald Trump,-1
89,@phoenixr6811,Not big fan of any of the Republican candidates but  That is a big endorsement and a message to Trump because I believe that back him last time. ,1
90,@SN-sz7kw,Koch’s have decided to send Donald to prison. ,-1
91,@shanebrooks1257,"I'm sure Nikki Haley would win voters Trump can't, but there are a lot of Trump voters who would never vote for Nikki. A fractured base is a problem for the GOP.",0
92,@glenminks4682,"Just because Nikki Haley is better than Trump, doesn't mean she still isn't awful.",0
93,@lettucesalad3560,"Tomorrow Nikki Haley will be saying ""We need to cut taxes and regulation for big business to stimulate the economy and raise tax revenues"".",0
94,@thepreacher3362,Go Nicky! Most common sense GOP candidate ,0
95,@SN-sz7kw,"I am a lifelong Dem & a veteran. If Haley or Christie sat in the Oval, I’d be at odds with most everything they do, but I would not fear for global democracy. I’d prefer Haley because I believe she’s a yardstick more ethical than Christie. And a whole lot smarter.",0
96,@askew666,This sorta thing is why the financial “playing field” needs to be leveled. It’s whomever has the most money wins it has nothing to do with popularity or qualifications. Disgusting.,0
97,@survivor5095,Imagine voting for a career politician like Haley or Biden.,0
98,@leonardothefabulous3490,Years ago I did a private fireworks show for the Koch brothers at their Hampton's house-on a small bay. These guys are LOADED!,0
99,@ytsux9259,Conald is gonna be furious! ,0
100,@Martin-qm2lg,"Nikki Haley is the right choice for leader of the GOP. She is able to serve 8 years. She can move the US forward into the future, not be consumed by anger over the past. She is a good communicator and an inspiring, well accomplished and experienced leader with proven success. Support and vote for Nikki Haley.",1
101,@pokerface8242,Even death couldn't separate Rosalynn and Jimmy. My utmost admiration for a truly remarkable couple.,1
102,@shadyshinichi2JZ,Getting old is a privilege. I see aging much differently now at 38 years old than I did when I was younger. RIP to the First Lady.,0
103,@Carolynnin,"That was such a beautiful eulogy. So touching, funny, and sweet. Rosalynn Carter was an incredible human and we are better to have known her. May her memory be a blessing.",1
104,@Afrocentricpoet,"I lost my mom recently. I can feel what the carter family is feeling right now. Grief is so sad.
Thoughts to others who have lost someone special. Stay strong.",1
105,@theinfralink6598,Both Jimmy Carter and his wife Rosalyn Carter are two great human beings.,1
106,@PthaloGreen2,I have so much respect and love for both President and Mrs.  Carter. We truly have not yet appreciated them sufficiently.,1
107,@merlinemcallister3756,Words can't describe these 2 monumental  human beings.I was always impressed with Mrs.Carter's southern Belle  charm plus her and mr.Carter's unwavering contributions to society.,0
108,@valeriesnow2869,A life to cherish. A life to celebrate. A life well lived. First Lady Rosalyn Carter.,1
109,@mr.doctor-reginaldbernardb2904,President and Mrs.  Carter have represented the best of all of us.   True American icons. Rest peacefully ma'am.,1
110,@westhawk9599,"Rosalynn Carter was genuine, graceful, intelligent, loving, giving, and caring. Rosalynn never changed and never stopped sharing her incredible qualities. We must learn from and carry on her qualities. Rosalynn is the sunshine breaking through the clouds.",1
111,@user-of5wh8xf9k,"Rosalynn and Jimmy carter are exceptional human beings, humble,down-to-earth,decent,with a large trajectory in service and humanity to the country, my condolences.",1
112,@shannonmoore4201,Chip’s tribute to his mother was just beautiful.   Gave me tears.,1
113,@designsbynoz,Oh my...That last line from Chip was both  heart breaking and beautiful.,1
114,@justus615,"My heart goes out to him. He is a true example of a Man, and a Husband and a Leader. God Bless him and his family.",1
115,@kaptainkool408,Sweet and touching tribute by Chip,1
116,@catalinacurio,The final loving compliment!  True gentleman Jimmy!  ️️️,1
117,@annabrown7302,JIMMY CARTER AND ROSALYN  CARTER TWO BEAUTIFUL HUMAN BEINGS ,1
118,@jamespowell5602,"The Carters were true servants of God.  I did not agree with his politics, but he was a very good man.  They were married for 77 years.  That says a lot nowadays.  Both of them will enter into that eternal kingdom of God.  God bless President & Mrs. Carter.   I thank them both for their service to our country.  ",1
119,@robertjames6640,"The passing of a good soul who did so much for humanity, well in excess of her short time in the WH.
RIP, Ms Carter for you have earned the love, respect and place in the hearts of millions of us.",1
120,@siddharthsharma5124,"Incredible rescue work by NDRF, SDRF, Indian Army, IAF ( Chinook Helicopters ), Miners, NDMA,PMO, SDMA, CMO, Mr Arnold Dix from Australia 🇦🇺, Mr Chris Cooper from the engineering conglomerate Larsen & Toubro (L&T), Doctors, Mr. Neeraj Khairwal, locals and all those who helped. This proves world is so much better when we help each other 🇮🇳️🇦🇺️",1
121,@circleoflife3806,Glad all the 41 workers have survived! Kudos to rescue workers! ,0
122,@Krispy1011,God Bless the rescued miners and all who assisted with their rescue!,0
123,@LP-ff8fk,"Lives have been saved! This is what real heroes can do, save people from death ! A real inspiration to all people young or  old around the world about the magic of humanity & real heroism 🇮🇳️️",1
124,@VaranasiTravels, wonderful example of what humanity can collectively achieve irrespective of geographical borders.,0
125,@harishhanchinal2838,"Great save !!! Thanks to everyone who put their heart & soul, to save 41 people's lives ",1
126,@londoncalling1757,Great news .Great job by all rescuers...  I've been down the mines ... to get trapped is a living hell .,1
127,@StormyNatero-yd7sj,Well done good rescue and survival skills.  May your winter be bright .,1
128,@createone100,"We all need good news today! Bravo, bravo!!! 🇨🇦",1
129,@AmandaRosario-wd7ro,This is great news to hear! Thank God!,1
130,@gauravmimi,this is incredible the rat miners had to be called in for the final rescue.. a miracle of sorts,1
131,@KINGSOFGOD-ob2dt,Praise the lord ,1
132,@KINGSOFGOD-ob2dt,Praise the lord ,1
133,@ZachariahLoneStarLiberal,Praise The Lord,1
134,@ZachariahLoneStarLiberal,Praise The Lord,1
135,@krishnakumarloveme,Just wow god bless ,1
136,@palaninadeson3032, Love all of them are alive after 17 days ,1
137,@cowgirlup1081,Wonderful news ,1
138,@SafeSpaceCafe,Lovely in soo many ways...,1
139,@manoharshenoy4800,It is not 3  Meter diameter pipe it is 3 feet diameter pipe. The reporter should know the difference between Meter and Feet.,0
140,@BlackandBlessed100,That’s awesome ,1
141,@user-ty8qm9vk2p,Thank God Almighty !!!,1
142,@Jarod-te2bi,Wonderful news at last ,1
143,@shys2944,Jai Shree Ram! Jai Bhole Nath!,-1
144,@aman_s47,"I mean manual drillers called rat miners were more fast than auger as they dug 12 mtrs left in just 48 hrs or less, Means that a stretch of 60m caved in debri could take them 10 or 12 days at max, bcoz there avg   digging speed is 6m per day. This is fascinating, but alas all r safely evacuated, if we keep these efficiency things aside",0
145,@ashimsen6408,Feeling obliged for the post.,-1
146,@mrs.sherry,Yay!! Now that is some good news!,1
147,@saapitkaaliya6768,Special thanks to mr. Arnold dix ..🇮🇳,1
148,@MonikaBardell,Thats good News ,1
149,@anonyarena,"This reminds me of the book ""Eats, Shoots and Leaves.""  A comma in the wrong place changes everything.  Where the comma is changes what Pence said from ""I'm telling you now what you don't already know"" into ""you already know this and you need to stop nagging me about it.""",0
150,@pclement7879,"That is how he speaks! He puts commas at every second word he says. Even his eyebrows, they move so much, they should be called to testify.",0
151,@TalesofStories,"How much time and money has been spent trying to prove what everyone already knows?
It takes a second for Trump to lie and years trying to prove the obvious.",-1
152,@jasoncullen8430,"As a linguist, I love this!",1
153,@jayskateandsuchstuff8446,Wasn’t it a comma that gave the Scalia court the grab handle it needed to interpret the second amendment the way they did?,1
154,@zynathera8140,And this is a great example of the granular nature of the law. The small details matter.,1
155,@immortalasirpa6006,"At this point, I can only conclude that Mike Pence enjoys being humiliated.  I think he confuses humiliation with humility.  Isn't the first time I've seen a religious person do that.",-1
156,@mandyblush,I wonder and worry about what percentage of people don't understand this topic of comma usage.,0
157,@seandonaghy2473,"Oscar Wilde was once asked what a typical day's work comprised for him.  He replied: ""This morning, I inserted a comma; this afternoon, I removed it.""",0
158,@FlyWithMe_666,"Reminds me of Lionel Hutz: “Works on contingency, no money down” -> “Works on contingency? No, money down.”",0
159,@adventureescape1929,"Book manuscripts go to a proofreader, sometimes two proofreaders, for grammatical error corrections.
The proofreader might not have known the context of the sentence as the writer intended it to be. ",0
160,@kumudukulasekara6684,This 'granular inquiry' gives me faith in the US again.,0
161,@davidhughes6048,"Commas save lives: “Let’s eat, Grandma” vs “Let’s eat Grandma”",-1
162,@geegaw1535,"It is absolutely,  pivotal and granular to the information. 
Grammar is essential. 
It tells a story as it happens or happened. 
I appreciate what Jack Smith is doing in this case. My vote and voice were almost stolen, not stollen.",-1
163,@TheStuport,"IF that ""mysterious comma"" was in Bold Sharpie Black....then we know the answer to WHY it was there to begin with!",0
164,@linaraepaksa,"""commas matter"" at the end there, i got a kick out of that. it isn't always true, but i guess sometimes at least (including in this case) it can change the meaning with how it's read and interpreted. in general, we should all probably be more mindful with how we say things",0
165,@mairirose5843,I can not WAIT until Jack Smith’s trial…..I only pray it’s televised. Praying for Mr. Smith and his team daily.,0
166,@jasondauenbaugh9060,The day trump gets convicted there will celebrations and cheering and dancing in streets. Even more than the day we all found out he lost his reelection campaign..,0
167,@BooksForever,"Distilling this to its core, removing the comma indicates that this exchange wasn’t the first time that Pence told Trump his position. The first exchange could’ve been a version of these words with the comma, and subsequent times as Trump continues to badger him Pence could say it without the comma.",0
168,@eliassalcedo5229,"If you are Trumps lawyers, you ask Jim Carey for acting advice. That might work.",0
169,@narayankulkarni5378,Awesome sister God bless you and your family ,1
170,@MariaLacsamana-ik3in,I love  Advent calendars esp. for me I have a big family nice!! Thanks,1
171,@f.n.schlub2269,"Advent is the period of prayer, fasting and abstinence leading up to the December 25th, ""The Feast of the Nativity of Jesus"".  It is NOT the same as ""The 12 Days of Christmas"" which are from Christmas Day through the ""Feast of the Epiphany"" on January 6th.",0
172,@alphacharlietango969,Great commercial CNN,1
173,@seanmccartney5177,"Advent Calendars are for ""CHRISTMAS""",0
174,@narayankulkarni5378,Sister these products only for man or women,0
175,@nottooknight55,A war on Christmas CNN commercial?,-1
176,@FleurPillager,We want news not advertisments.  Stop it.,0
177,@maximus0909,"WE LIVE = TO GIVE !
.   .or what...?",0
178,@user-ss3np5ye4g,THATS WHAT I MEANT BY 2 BILLION PEOPLE DIED,-1
179,@12oshinko,I have a hard time believing anyone who says overturning Roe was about states' rights,0
180,@markmartin8211,"Christie: We moved up in the polls.  
Also Christie:  I still don't think the polls are accurate.",0
181,@mplapp1908,"She could have added lies, fraud and corruption also follow him.",-1
182,@mikefromvernon,"I don't necessarily agree with 100% of Christie's policies but I like him.  He tells you how he see's and calls things.  No human is 100% in keeping promises but his record is much better than most members of congress, former governors etc.  With him you know where you stand.",0
183,@josephhyatt,"i hate the term ""pro-life"" cause none of these people are pro-life.. if they were our homeless problem would be better handled.. if you say you're pro life, you really are just pro-birth..",-1
184,@lawrencesmith7869,"Chaos doesn’t “follow” Trump, he drives the chaos bus!
Ever since 2015, he’s made the news cycles about him nearly EVERY day by some wacky (then) tweet",0
185,@theprof73,A to-the-second countdown until the IA caucuses is just ridiculous,0
186,@peziki,"Nikki parsed her words toward Trump by saying chaos ""follows"" him.  Hardly!  The guy creates his own chaos & blames & accuses others.  All his legal problems he has now, were self-induced.  In recognition of all that, Christie has my support.  He tells things like it is; that's what the ppl need!",0
187,@bfly.1308,"Chris Christie is the best of all the Republican field. He understands the world and his instincts are right on on foreign policy. He visited Ukraine and Israel at the appropriate times and does not believe in Trump's lies. The guy even trained the shallow ex-president on how to handle a debate. He is by far suitable for the job more than any of these guys. While Haley and DeSantis were in training for Governor, he was already a Governor in a purple state of New Jersey.",1
188,@jackkauffman9417,"7:09 damn right! Id be proud to vote for this guy, and im a no affiliation voter",1
189,@luvspaiste,"""Chris Christie explains why he wouldn’t sign a 6 week abortion ban"": because he's a windsock who can read polls. I also remember him in the fall of 2022, saying the overturn of Roe wouldn't impact the election and we'd have a red wave.",-1
190,@HuskyOwner-bl1jf,"At least his being realistic about abortion
Accepting that others don't see it the same way as you should be the default position
It's an individual choice, not a political talking point",0
191,@HanLong-oz3cs,"Chris Christie. A guy Thomas Sowell referred to as ""an articulate conservative"", which he went on to claim was a very rare or non-existenting thing.",0
192,@dharris4347,She lost me when she agreed to cut social security,0
193,@alexm8922,"If they sign a law that bans the federal government to make medical choices, then i will be OK with states making their own laws. 

I like Christie, but just like any other politician, they just want to say what viewers on CNN want to hear. You'll never hear the same conversation on FOX. ",0
194,@keithgupton9349,"You ever notice whether it's Trump,  Nikki Haley or some other Republican candidate. They always seem to position the one black guy in the camera shot. I actually think it's the same guy that they all share for the rallies.",0
195,@ABxx2011,The way Nikki Haley feels she has to tread so carefully when trying to say something even mildly critical of Trump is depressing.,0
196,@alextafoya3053,She'll say anything to get an applause. She loves easy money NO matter how low she has to stoop. Shame on her,-1
197,@moses6486,Usually your content is very much worth listening to,0
198,@SpencerWilliamsIV,This lawyer’s legal skills are about as good as Chauvin’s policing.,0
199,@chriscoralAloha,"The stabber will be put on paid administrative leave, and the inmates will be conducting an investigation.",0
200,@ismaeladen1204,"When he put that knee on that man’s neck applying pressure I’m sure he never envisioned himself being prosecuted for it, sentenced for it and stabbed for it.

Coward.",-1
201,@SirKentSaid,I'm honestly surprised it took THIS long,0
202,@anthonyd4341,Derek was so looking forward to a career with Fox News.,0
203,@shipwreck8847,Wow Chauvin's Lawyer looks like Chauvin's brother.,0
204,@pagex1,This is why you don't commit crimes.,0
205,@highlycreativepseudo,I'm sure Chauvin would've been fine if he'd stopped resisting.,0
206,@phatpunxs64,He's not the first prisoner to get stabbed...I'm glad to see Mr. Chavin's is being treated as equal as every other prisoner. Maybe this should be a lesson to not break the law.,0
207,@Jaxson124,He's just a prisoner that got stabbed.....I wonder how many other prisoners were stabbed today. Nobody is special behind bars,-1
208,@moonkey537,Probably hard for policemen (crooked or not) not to have a target in the prison system.,-1
209,@patriciajump9511,The lawyer can't pronounce his client's name correctly?,0
210,@janetgilmore8006,We did not think he would last this long without an attempt on his life..?,0
211,@KeithJackson-ux7eh,The inmate has been place on administrative leave while the other prisoners do their own investigation ,0
212,@webmediafactors4,"A consent form usually means there is privileged, private information. The officer probably didnt ask for it because its only filled out when someone wants information about a private matter. In other words, the victim had a right to privacy, therefore why would you suggest they sign it away? In fact the lawyer could have spun that around the other way and claimed that the officer forced him to sign away his privacy rights under duress. Take your pick lawyers, you're f**king up the ocuntry.",0
213,@BKB0097,I wonder if Chauvin said he couldn't breath when stabbed?,0
214,@m.w.976,"Well, if this ""attorney"" doesnt know anything about his client's medical condition, HOW does he know he is alert and ABLE to sign consent forms? HIPAA is HIPAA, regardless if the subject matter is a convicted felon. I would THINK his ""attorney"" would KNOW that.  ",0
215,@palehorse6250,thoughts and prayers.,1
216,@TheDonosul,"Wow an ex cop who killed a man who begged him to spare him has been attacked in prison! What a surprise, but some would call this Rough Justice or Instant Justice. 

But let’s be honest here: prisoners are attacked by other criminals every day in prison. Why is this news?",-1
217,@OSnoopySnoop1,THE INMATE SAID THAT HE FEARED FOR HIS LIFE SO HE HAD TO TAKE THE APPROPRIATE ACTIONS TO DEFEND HIMSELF ,0
218,@mamajes26,Absolutely disturbing and senseless. Praying for these men.,-1
219,@BloggerMusicMan,I feel so bad for these young men. I wish them the best in their recovery and I hope that the shooter gets punished.,1
220,@MA-iw6og,"If this isn't a hate crime, what would hate crime be?!!",-1
221,@HGLM-wk7qg,Great job by law enforcement and speedy recovery for the victims ,1
222,@paulettelavigueur760,"So amazingly stupid, disappointing and incredibly sad for their families and friends ... From Canada",-1
223,@gabeandnanagaming2721,"How sad is this! Hope the three can have a speedy recovery. You have a certain type of person who take political causes to the extreme ( by using violence) especially when receiving news on a regular basis and of course when disinformation and propaganda are thrown into the mix. I feel the steady flow of protests being reported, heightens these type of individuals with violent responses. I would give less coverage if any to the protesters and rallies in order to thwart violent acts in the future. Let people protest but don't give them the news coverage.",0
224,@marymcguire603,"It's been said before, this is WHY it would be well to PROVIDE higher education to a democratic a society.",1
225,@teresaellis895,I have seen so much out of control behavior..People beating the pulp out of people for no reason.People are unhinged ...,0
226,@Dora-hi2nw,I admire Bernie Sanders. It would be great if people understood that this is the kind of politician the U.S. and the world need. No partisan BS or personal agenda. The last hippie and probably the only hippie ever to get into politics without selling out.,0
227,@bonniecline5014,My prayers are with these  young men. God be with them️,1
228,@Lew114,"We need a US Senator to remind us that “You don’t go around shooting people”. I remember when we all basically agreed on that. Sad. 

I’m glad nobody was killed in this particular incident. ",1
229,@ohmy5650,"Many must feel utterly deceived by life due to climate change & environmental issues, seldom doesn't a mind react with negativity towards adversity. What greater adversity than loving (environment here) & being punished for the way of showing that love is there?",1
230,@JGPlunder,Absolutely a hate crime. What a disgusting human,-1
231,@niclewis9610,"""People must learn to hate and if they can learn hate they can be taught to love, for love comes more naturally to the human heart than its opposite""

- Nelson Mandela",0
232,@nyerineu3388,"These students participated in 'Seeds of Peace', which was positively written about in the NYT. On both sides of the Israeli-Hamas conflict, horrible things have been done, to these 3 students, as well as Hamas abducting children as well as a 85 yr. old grandmother, who with her husband (Daniel Lifschitz, still held hostage by Hamas) helped ferry Gazans to medical facilities within Israel, some payback, ay?",0
233,@anneherman6745,"Never forget all people are immigrants in search for a better life. Now, then and in the future. We all have a heart beating for love. ️️️",1
234,@robertm7120,It certainly doesn't help when everyone has such easy access to deadly weapons .,0
